delivery_bucket,orders,avg_review,revenue
10+ days early,61849,4.313,10101695.84
3-10 days early,23783,4.226,3525782.67
0-3 days early,4304,4.093,640024.19
1-3 days late,1870,3.282,294955.29
3-10 days late,2572,1.957,473458.41
10+ days late,2092,1.705,382478.43
